Keuwl Accelerometer Data File
2017-11-22 11-23-54

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
1.9599653,-0.029256,-0.072171,0.964526,0.967665,4.616049,247.933975
1.9705485,-0.034149,-0.072171,0.963507,0.966809,4.737062,244.678177
1.9799267,-0.031193,-0.071254,0.960550,0.963695,4.629524,246.357727
1.9906988,-0.029256,-0.075127,0.966463,0.969820,4.768592,248.723236
2.0005350,-0.030173,-0.065341,0.970336,0.973002,4.242009,245.213516
2.0112250,-0.034149,-0.070234,0.965443,0.968597,4.624698,244.070435
2.0198135,-0.030173,-0.068298,0.962589,0.965481,4.435398,246.164581
2.0305176,-0.028236,-0.067278,0.969419,0.972161,4.304251,247.232361
2.0398300,-0.032212,-0.068298,0.962589,0.965546,4.485501,244.749481
2.0507588,-0.028236,-0.064424,0.967380,0.969934,4.158782,246.332581
2.0597968,-0.028236,-0.067278,0.966463,0.969213,4.317381,247.232361
2.0711153,-0.030173,-0.066361,0.959633,0.962398,4.344109,245.549408
2.0798426,-0.030173,-0.066361,0.959633,0.962398,4.344109,245.549408
2.0914121,-0.026300,-0.066361,0.961570,0.964216,4.245563,248.380920
2.0998530,-0.033129,-0.066361,0.961570,0.964426,4.410821,243.470169
2.1105568,-0.031193,-0.067278,0.963507,0.966356,4.401130,245.125854
2.1198025,-0.031193,-0.067278,0.963507,0.966356,4.401130,245.125854
2.1338654,-0.030173,-0.070234,0.964526,0.967550,4.531380,246.751251
2.1439216,-0.032212,-0.069215,0.962589,0.965612,4.534664,245.043182
2.1502099,-0.029256,-0.068298,0.966463,0.969315,4.396143,246.811737
2.1598809,-0.027319,-0.067278,0.965443,0.968170,4.301247,247.899872
2.1702321,-0.033129,-0.072171,0.964526,0.967790,4.706694,245.343002
2.1798155,-0.032212,-0.070234,0.955759,0.958878,4.622071,245.362122
2.1922486,-0.033129,-0.075127,0.961570,0.965069,4.880620,246.203629
2.2004507,-0.028236,-0.069215,0.960550,0.963455,4.449990,247.806854
2.2121239,-0.028236,-0.070234,0.966463,0.969423,4.478509,248.098297
2.2198486,-0.030173,-0.071254,0.963507,0.966609,4.591542,247.049179
